11905 17 19 19
11908 13 13 11 11
11912 16 19 13
11915 1 13 13
11916 8 7 24 19
11927 13 7 19 24
11943 19 5 3
11946 13 7 3
11950 19 19 6 24
11955 15 16 1
11958 20 3 17
11959 20 6 5
11963 21 7 6 3
11978 10 7 5
13312 20 13 0 0
13313 13 15 23 0
13314 16 16 16 0
13315 15 13 12 0
13316 10 22 0 0
13317 11 0 0 0
13318 8 19 13 19
13319 11 14 14 0
13320 15 14 0 0
13321 13 14 14 0
13322 7 14 0 0
13323 7 14 0 0
13324 15 16 4 0
13325 2 14 0 0
13326 25 11 14 0
13327 13 13 14 0
13328 22 5 14 0
13329 8 5 25 14
13330 19 18 14 0
13331 13 14 18 14
13332 25 18 14 0
13333 12 23 14 0
13334 7 18 21 0
13335 10 16 14 0
13336 6 4 14 0
13337 13 18 20 14
13338 13 13 18 14
13339 15 18 14 0
13340 9 5 11 14
13341 17 18 14 0
13342 20 3 14 0
13343 12 25 14 0
13344 2 21 14 0
13345 11 14 13 11
13346 5 4 14 0
13347 9 10 10 14
13348 11 14 10 3
13349 3 19 14 0
13350 8 17 14 0
13351 9 14 14 8
13352 14 14 14 14
13353 20 20 20 20
13354 25 15 21 0
13355 25 21 11 0
13356 25 9 8 21
13357 25 23 18 0
13358 25 3 20 22
13359 25 18 18 1
13360 15 18 0 0
13361 15 8 8 8
13362 15 11 0 0
13363 15 13 21 0
13364 15 14 9 0
13365 15 13 4 0
13366 15 18 21 0
13367 15 14 22 13
13368 15 14 15 0
13369 15 15 13 14
13370 15 15 15 0
13371 15 15 2 0
13372 15 8 20 0
13373 15 8 14 11
13374 15 13 13 21
13375 15 17 0 0
13376 15 11 9 0
13377 15 21 21 0
13378 15 13 15 2
13379 15 22 9 19
13380 15 23 25 9
13381 15 15 25 13
13382 15 18 8 21
13383 15 14 19 13
13384 15 11 4 0
13385 15 8 14 14
13386 15 25 12 3
13387 15 20 23 0
13388 15 19 13 7
13389 15 17 4 0
13390 15 22 22 21
13391 15 10 4 9
13392 15 25 13 6
13393 15 8 2 21
13394 15 13 12 15
13395 15 9 11 5
13396 15 13 2 15
13397 15 21 14 9
13398 15 15 12 0
13399 15 8 24 8
13400 15 9 20 0
13401 15 19 10 21
13402 15 19 17 12
13403 15 4 12 0
13404 15 17 8 12
13405 15 13 7 20
13406 15 6 20 0
13407 15 15 13 3
13408 15 12 5 7
13409 15 1 9 12
13410 15 7 9 12
13411 15 4 4 0
13412 15 20 23 0
13413 15 1 16 8
13414 15 9 19 11
13415 15 8 4 4
13416 15 18 15 11
13417 15 23 12 14
13418 15 25 11 12
13419 15 15 9 16
13420 15 22 10 18
13421 15 23 13 12
13422 15 2 10 10
13423 15 13 2 3
13424 15 22 14 15
13425 15 14 8 4
13426 15 10 2 10
13427 15 16 21 21
13428 15 19 13 5
13429 15 11 15 11
13430 15 15 14 4
13431 15 9 2 16
13432 15 10 18 18
13433 15 13 23 1
13434 15 15 7 19
13435 15 10 16 21
13436 15 23 8 18
13437 15 6 2 7
13438 15 2 25 18
13439 15 22 22 4
13440 15 25 3 2
13441 15 23 7 10
13442 15 20 10 1
13443 15 9 16 3
13444 15 2 11 6
13445 15 25 14 22
13446 15 15 18 13
13447 15 15 20 6
13448 15 13 10 11
13449 15 6 2 4
13450 15 19 9 13
13451 15 20 3 12
13452 15 6 6 14
13453 15 9 9 6
13454 15 13 11 25
13455 15 10 20 25
13456 15 8 16 1
13457 15 19 5 7
13458 15 20 3 4
13459 15 25 7 17
13460 15 23 12 9
13461 15 25 22 7
13462 15 20 23 2
13463 15 20 2 7
13464 15 19 5 20
13465 15 22 6 2
13466 15 2 13 16
13467 15 19 13 7
13468 15 8 24 3
13469 15 20 23 9
13470 15 21 15 19
13471 15 25 19 22
13472 15 25 5 13
13473 15 2 21 6
13474 15 15 13 2
13475 15 9 15 16
13476 15 19 10 10
13477 15 21 10 20
13478 15 23 23 7
13479 15 25 2 7
13480 15 8 24 21
13481 15 22 15 9
13482 15 19 19 15
13483 13 25 13 21
13484 13 21 13 7
13485 18 21 8 21
13486 13 21 19 15
13487 6 21 20 10
13488 15 13 0 0
13489 15 14 9 0
13490 15 1 0 0
13491 2 12 15 15
13492 15 21 21 0
13493 8 1 3 0
13494 3 8 1 0
13495 2 15 13 3
13496 20 16 8 15
13497 10 3 2 3
13498 2 20 15 22
13499 1 2 21 21
13500 20 12 2 15
13501 1 6 17 21
13502 1 25 19 4
13503 1 25 2 7
13504 2 25 0 0
13505 2 3 0 0
13506 2 13 21 22
13507 2 25 18 16
13508 9 8 12 21
13509 9 13 13 14
13510 9 13 15 16
13511 9 13 8 11
13512 9 13 13 18
13513 9 13 8 18
13514 9 13 13 18
13515 9 13 20 3
13516 9 13 13 7
13517 9 13 25 21
13518 9 13 19 5
13519 9 13 3 18
13520 9 13 7 7
13521 9 13 7 10
13522 9 16 15 16
13523 9 13 10 10
13524 9 13 8 9
13525 9 13 9 6
13526 9 13 20 10
13527 9 13 17 6
13528 8 14 13 7
13529 21 25 11 0
13530 13 12 14 0
13531 13 19 8 0
13532 22 9 19 8
13533 20 20 12 14
13534 17 10 19 8
13535 4 5 12 14
13536 25 18 12 14
13537 15 21 12 14
13538 8 18 12 14
13539 15 18 12 14
13540 7 18 12 14
13541 6 19 12 14
13542 13 1 12 14
13543 15 18 12 14
13544 11 15 12 14
13545 14 2 12 14
13546 9 9 19 8
13547 11 20 12 14
13548 6 8 12 14
13549 1 22 12 14
13550 2 18 12 14
13551 22 23 12 14
13552 13 21 12 14
13553 15 14 12 14
13554 9 2 12 14
