11905 17 19 19
11908 13 13 11 11
11912 16 19 13
11915 1 13 13
11916 8 7 24 19
11927 13 7 19 24
11943 19 5 3
11946 13 7 3
11950 19 19 6 24
11955 15 16 1
11958 20 3 17
11959 20 6 5
11963 21 7 6 3
11978 10 7 5
13312 7 10 7 7
13313 7 12 23 9
13314 1 1 1 2
13315 12 8 11 0
13316 1 8 11 0
13317 17 20 25 27
13318 18 22 14 22
13319 22 14 2 0
13320 20 25 14 2
13321 19 14 2 26
13322 6 14 2 0
13323 6 14 2 26
13324 20 2 2 26
13325 5 14 2 0
13326 25 14 2 26
13327 7 14 2 0
13328 22 3 14 2
13329 20 21 14 2
13330 22 11 14 2
13331 19 11 14 2
13332 25 14 2 0
13333 13 14 2 26
13334 6 11 14 14
13335 6 20 24 14
13336 15 14 2 0
13337 7 11 21 14
13338 7 11 14 2
13339 23 4 11 14
13340 6 9 25 22
13341 18 17 11 14
13342 1 4 23 14
13343 4 10 4 14
13344 5 2 14 14
13345 22 4 13 4
13346 9 5 2 14
13347 25 12 14 22
13348 22 6 8 23
13349 17 5 7 14
13350 22 7 14 14
13351 25 14 8 20
13352 3 2 3 2
13353 6 10 6 10
13354 25 2 23 21
13355 25 2 11 0
13356 25 3 17 2
13357 25 12 11 6
13358 21 6 10 5
13359 25 11 20 10
13360 23 11 7 0
13361 23 5 18 0
13362 23 4 25 26
13363 23 7 17 14
13364 23 17 25 0
13365 23 7 6 8
13366 23 14 14 26
13367 23 3 7 0
13368 23 17 23 25
13369 23 18 14 14
13370 23 23 23 25
13371 23 13 23 25
13372 23 20 1 8
13373 23 13 17 25
13374 23 6 17 14
13375 23 18 8 26
13376 23 4 25 25
13377 23 2 13 8
13378 23 7 13 23
13379 23 24 12 14
13380 23 24 7 21
13381 23 20 8 7
13382 23 11 17 14
13383 23 17 22 7
13384 23 1 9 25
13385 23 13 7 17
13386 23 25 15 25
13387 23 13 1 7
13388 23 1 7 7
13389 23 4 9 25
13390 23 22 13 8
13391 23 16 6 25
13392 23 8 9 25
13393 23 20 8 7
13394 23 7 11 23
13395 23 3 4 3
13396 23 4 13 25
13397 23 13 17 25
13398 23 23 11 8
13399 23 20 13 20
13400 23 1 1 8
13401 23 2 14 14
13402 23 22 6 2
13403 23 7 11 9
13404 23 18 18 8
13405 23 7 1 8
13406 23 15 1 8
13407 23 18 7 23
13408 23 10 3 6
13409 23 22 3 2
13410 23 6 3 2
13411 23 19 19 25
13412 23 1 12 7
13413 23 10 17 18
13414 23 25 14 4
13415 23 20 2 7
13416 23 11 20 4
13417 23 12 17 25
13418 23 25 10 7
13419 23 23 25 14
13420 23 22 4 7
13421 23 12 7 10
13422 23 16 12 8
13423 23 4 13 25
13424 23 24 5 25
13425 23 3 2 19
13426 23 6 13 6
13427 23 17 2 20
13428 23 22 16 3
13429 23 21 20 4
13430 23 18 14 15
13431 23 3 5 24
13432 23 4 19 11
13433 23 7 13 10
13434 23 23 25 5
13435 23 16 14 13
13436 23 12 20 11
13437 23 9 16 6
13438 23 17 25 7
13439 23 22 10 19
13440 23 21 13 4
13441 23 12 6 6
13442 23 1 6 10
13443 23 1 6 13
13444 23 17 4 15
13445 23 25 17 5
13446 23 23 7 14
13447 23 18 12 15
13448 23 14 2 20
13449 23 9 16 19
13450 23 22 25 8
13451 23 1 4 18
13452 23 15 15 13
13453 23 3 3 9
13454 23 7 4 4
13455 23 16 6 21
13456 23 20 17 10
13457 23 1 9 25
13458 23 15 7 23
13459 23 6 21 16
13460 23 12 17 10
13461 23 25 24 25
13462 23 1 10 25
13463 23 1 6 6
13464 23 1 8 21
13465 23 24 18 8
13466 23 5 1 14
13467 23 14 23 25
13468 23 22 7 23
13469 23 1 12 20
13470 23 13 23 13
13471 23 25 3 5
13472 23 8 17 7
13473 23 5 18 9
13474 23 23 7 1
13475 23 25 23 14
13476 23 2 2 2
13477 23 4 8 21
13478 23 12 12 6
13479 23 25 2 25
13480 23 22 20 14
13481 23 24 5 10
13482 23 1 8 5
13483 7 8 6 17
13484 6 17 7 4
13485 11 17 11 17
13486 6 17 5 9
13487 9 17 1 6
13488 20 25 1 6
13489 20 25 17 21
13490 20 25 10 6
13491 13 8 20 25
13492 20 25 2 13
13493 18 23 21 0
13494 23 18 6 0
13495 13 23 7 23
13496 21 5 21 26
13497 6 8 23 23
13498 13 21 23 14
13499 10 8 17 2
13500 1 13 8 25
13501 10 21 4 2
13502 10 25 20 2
13503 10 25 2 25
13504 16 8 21 0
13505 16 23 21 26
13506 16 6 17 22
13507 16 25 20 1
13508 3 3 3 17
13509 21 19 8 0
13510 21 23 24 14
13511 21 20 4 25
13512 21 4 7 0
13513 21 20 4 7
13514 21 13 7 11
13515 21 1 23 25
13516 21 23 7 7
13517 21 25 3 17
13518 21 22 16 3
13519 21 13 23 11
13520 21 6 23 6
13521 21 6 21 6
13522 21 1 23 14
13523 21 6 13 6
13524 21 20 13 6
13525 21 4 7 20
13526 21 10 1 6
13527 21 4 8 9
13528 13 7 17 25
13529 25 2 11 26
13530 1 10 8 26
13531 1 22 14 26
13532 24 22 14 26
13533 6 10 10 8
13534 4 8 22 14
13535 8 3 10 8
13536 8 11 10 8
13537 18 13 10 8
13538 20 11 10 8
13539 23 7 11 10
13540 6 11 10 8
13541 9 22 10 8
13542 4 10 10 8
13543 23 25 14 10
13544 4 23 23 10
13545 17 5 10 8
13546 25 22 3 22
13547 4 7 1 10
13548 21 4 22 10
13549 10 17 23 10
13550 13 6 11 10
13551 22 12 10 8
13552 7 13 2 10
13553 23 7 5 10
13554 25 14 13 10
